echantillon_id,mesure_mm,operateur
E-0078,25.201,A. Morel
E-0079,23.893,R. Perrin
E-0080,25.267,R. Perrin
E-0081,23.738,R. Perrin
E-0082,24.501,R. Perrin
E-0083,24.951,R. Perrin
E-0084,25.005,R. Perrin
E-0085,24.054,L. Dubois
E-0086,24.212,L. Dubois
E-0087,25.38,A. Morel
E-0088,35.399,L. Dubois
E-0089,26.587,A. Morel
E-0090,26.494,A. Morel
E-0091,24.801,R. Perrin
E-0092,26.935,A. Morel
E-0093,22.669,R. Perrin
E-0094,24.245,L. Dubois
E-0095,24.241,A. Morel
E-0096,25.777,L. Dubois
E-0097,24.573,A. Morel
E-0098,25.651,R. Perrin
E-0099,24.571,L. Dubois
E-0100,25.592,R. Perrin
E-0101,23.416,A. Morel
E-0102,23.9,L. Dubois
E-0103,26.005,L. Dubois
E-0104,24.26,A. Morel
E-0105,25.862,R. Perrin
E-0106,23.811,L. Dubois
E-0107,24.708,L. Dubois
E-0108,24.112,R. Perrin
E-0109,25.086,R. Perrin
E-0110,25.291,A. Morel
E-0111,25.054,A. Morel
E-0112,23.343,R. Perrin
E-0113,25.603,L. Dubois
E-0114,24.864,L. Dubois
E-0115,25.932,R. Perrin
E-0116,25.065,L. Dubois
E-0117,24.382,R. Perrin
E-0118,25.361,R. Perrin
E-0119,25.933,L. Dubois
E-0120,26.682,A. Morel
E-0121,24.746,A. Morel
E-0122,25.374,L. Dubois
E-0123,24.783,R. Perrin
E-0124,26.299,L. Dubois
E-0125,24.791,L. Dubois
E-0126,24.862,R. Perrin
E-0127,25.217,L. Dubois
E-0128,24.975,R. Perrin
E-0129,24.468,L. Dubois
E-0130,24.952,L. Dubois
E-0131,26.243,R. Perrin
E-0132,25.336,R. Perrin
E-0133,23.78,L. Dubois
E-0134,24.995,R. Perrin
E-0135,25.006,R. Perrin
E-0136,23.404,R. Perrin
E-0137,25.26,R. Perrin
E-0138,24.543,R. Perrin
E-0139,25.132,R. Perrin
E-0140,26.047,A. Morel
E-0141,24.846,R. Perrin
E-0142,24.767,A. Morel
E-0143,25.971,L. Dubois
E-0144,25.498,R. Perrin
E-0145,23.532,R. Perrin
E-0146,25.008,A. Morel
E-0147,26.425,R. Perrin
E-0148,24.384,R. Perrin
E-0149,25.299,R. Perrin
E-0150,23.796,L. Dubois
E-0151,25.41,L. Dubois
E-0152,24.825,L. Dubois
E-0153,25.46,A. Morel
E-0154,25.5,R. Perrin
E-0155,24.908,R. Perrin
E-0156,36.836,L. Dubois
E-0157,26.113,R. Perrin
E-0158,24.646,A. Morel
E-0159,25.648,L. Dubois
E-0160,25.132,A. Morel
E-0161,24.75,A. Morel
E-0162,24.617,L. Dubois
E-0163,24.405,R. Perrin
E-0164,25.44,R. Perrin
E-0165,24.365,A. Morel
E-0166,26.206,A. Morel
E-0167,24.111,L. Dubois
E-0168,24.647,A. Morel
E-0169,25.421,R. Perrin
E-0170,25.463,L. Dubois
E-0171,24.537,A. Morel
E-0172,24.273,L. Dubois
E-0173,24.587,A. Morel
E-0174,25.162,R. Perrin
E-0175,26.154,L. Dubois
E-0176,26.262,R. Perrin
E-0177,24.333,L. Dubois
E-0178,25.55,R. Perrin
E-0179,25.304,L. Dubois
E-0180,24.108,L. Dubois
E-0181,26.076,R. Perrin
E-0182,25.651,R. Perrin
E-0183,24.701,A. Morel
E-0184,23.781,A. Morel
E-0185,26.097,L. Dubois
E-0186,23.524,L. Dubois
E-0187,24.67,L. Dubois
E-0188,25.765,L. Dubois
E-0189,24.26,L. Dubois
E-0190,26.012,L. Dubois
E-0191,25.844,L. Dubois
E-0192,25.749,L. Dubois
E-0193,25.254,L. Dubois
E-0194,27.081,L. Dubois
E-0195,24.752,A. Morel
E-0196,26.711,R. Perrin
E-0197,25.755,R. Perrin
E-0198,24.749,R. Perrin
E-0199,25.413,L. Dubois
E-0200,26.451,A. Morel
E-0201,24.198,A. Morel
E-0202,24.52,A. Morel
E-0203,35.312,L. Dubois
E-0204,24.948,A. Morel
E-0205,24.77,L. Dubois
E-0206,25.113,L. Dubois
E-0207,25.716,L. Dubois
E-0208,25.286,A. Morel
E-0209,24.838,R. Perrin
E-0210,27.248,R. Perrin
E-0211,24.246,L. Dubois
E-0212,24.675,A. Morel
E-0213,25.398,A. Morel
E-0214,26.037,A. Morel
E-0215,25.75,A. Morel
E-0216,26.53,L. Dubois
E-0217,24.158,R. Perrin
E-0218,25.902,L. Dubois
E-0219,24.853,L. Dubois
E-0220,26.556,L. Dubois
E-0221,24.753,R. Perrin
E-0222,25.769,L. Dubois
E-0223,25.952,R. Perrin
E-0224,26.701,R. Perrin
E-0225,25.239,L. Dubois
E-0226,25.476,L. Dubois
E-0227,26.137,L. Dubois
E-0228,26.854,R. Perrin
E-0229,24.323,A. Morel
E-0230,25.632,R. Perrin
E-0231,25.364,L. Dubois
E-0232,25.029,L. Dubois
E-0233,23.706,R. Perrin
E-0234,23.387,A. Morel
E-0235,25.275,R. Perrin
E-0236,14.117,L. Dubois
E-0237,24.321,L. Dubois
E-0238,24.241,R. Perrin
E-0239,24.313,L. Dubois
E-0240,26.22,A. Morel
E-0241,24.547,A. Morel
E-0242,24.355,R. Perrin
E-0243,24.1,A. Morel
E-0244,24.989,A. Morel
E-0245,25.368,R. Perrin
E-0246,25.519,R. Perrin
E-0247,23.738,R. Perrin
E-0248,24.369,R. Perrin
E-0249,25.049,R. Perrin
E-0250,23.423,L. Dubois
E-0251,24.914,L. Dubois
E-0252,23.852,A. Morel
E-0253,23.554,A. Morel
E-0254,24.697,R. Perrin
E-0255,24.352,L. Dubois
E-0256,26.113,L. Dubois
E-0257,24.405,L. Dubois
E-0258,25.583,L. Dubois
E-0259,25.463,R. Perrin
E-0260,25.53,L. Dubois
E-0261,24.413,R. Perrin
E-0262,24.01,A. Morel
E-0263,24.898,A. Morel
E-0264,24.75,R. Perrin
E-0265,24.146,R. Perrin
E-0266,26.42,R. Perrin
E-0267,26.139,A. Morel
E-0268,25.579,L. Dubois
E-0269,24.593,L. Dubois
E-0270,25.35,L. Dubois
E-0271,26.003,A. Morel
E-0272,24.127,R. Perrin
E-0273,24.813,L. Dubois
E-0274,23.836,A. Morel
E-0275,25.58,R. Perrin
E-0276,25.63,L. Dubois
E-0277,23.999,R. Perrin
E-0278,23.652,R. Perrin
E-0279,25.146,A. Morel
E-0280,26.049,A. Morel
E-0281,25.683,L. Dubois
E-0282,25.871,L. Dubois
E-0283,23.693,A. Morel
E-0284,24.825,L. Dubois
E-0285,24.937,A. Morel
E-0286,25.267,L. Dubois
E-0287,25.24,R. Perrin
E-0288,24.609,L. Dubois
E-0289,24.593,L. Dubois
E-0290,25.595,R. Perrin
E-0291,24.056,A. Morel
E-0292,25.448,R. Perrin
E-0293,26.379,L. Dubois
E-0294,25.751,R. Perrin
E-0295,24.153,R. Perrin
E-0296,25.626,A. Morel
E-0297,25.459,L. Dubois
E-0298,25.885,L. Dubois
E-0299,24.552,R. Perrin
E-0300,24.698,R. Perrin
E-0301,25.305,L. Dubois
E-0302,24.506,R. Perrin
E-0303,24.295,R. Perrin
E-0304,26.11,A. Morel
E-0305,24.302,A. Morel
E-0306,25.524,R. Perrin
E-0307,25.411,A. Morel
E-0308,24.87,R. Perrin
E-0309,25.173,L. Dubois
E-0310,25.299,L. Dubois
E-0311,24.484,L. Dubois
E-0312,25.106,R. Perrin
E-0313,23.851,A. Morel
E-0314,24.612,R. Perrin
E-0315,26.006,L. Dubois
E-0316,24.078,A. Morel
E-0317,25.143,A. Morel
E-0318,25.291,A. Morel
E-0319,24.47,R. Perrin
E-0320,24.382,A. Morel
E-0321,26.525,L. Dubois
E-0322,23.609,R. Perrin
E-0323,24.92,A. Morel
E-0324,25.247,L. Dubois
E-0325,24.907,R. Perrin
E-0326,25.064,A. Morel
E-0327,23.812,L. Dubois
E-0328,25.347,R. Perrin
E-0329,23.802,A. Morel
E-0330,24.577,R. Perrin
E-0331,24.493,R. Perrin
E-0332,30.426,A. Morel
E-0333,25.778,R. Perrin
E-0334,23.735,R. Perrin
E-0335,26.859,R. Perrin
E-0336,25.251,R. Perrin
E-0337,24.823,R. Perrin
E-0338,25.969,L. Dubois
E-0339,23.164,R. Perrin
E-0340,23.475,R. Perrin
E-0341,25.49,R. Perrin
E-0342,25.452,A. Morel
E-0343,24.798,A. Morel
E-0344,25.855,A. Morel
E-0345,23.39,R. Perrin
E-0346,24.92,L. Dubois
E-0347,24.138,R. Perrin
E-0348,24.074,R. Perrin
E-0349,24.762,L. Dubois
E-0350,24.789,R. Perrin
E-0351,24.21,R. Perrin
E-0352,25.424,R. Perrin
E-0353,25.951,R. Perrin
E-0354,24.591,L. Dubois
E-0355,24.373,A. Morel
E-0356,25.442,A. Morel
E-0357,25.78,A. Morel
E-0358,25.886,L. Dubois
E-0359,24.503,L. Dubois
E-0360,25.112,R. Perrin
E-0361,25.718,R. Perrin
E-0362,23.853,L. Dubois
E-0363,24.753,A. Morel
E-0364,24.761,A. Morel
E-0365,24.273,L. Dubois
E-0366,24.666,L. Dubois
E-0367,23.907,R. Perrin
E-0368,25.033,L. Dubois
E-0369,24.436,A. Morel
E-0370,25.242,L. Dubois
E-0371,24.974,R. Perrin
E-0372,24.973,R. Perrin
E-0373,24.474,R. Perrin
E-0374,26.302,A. Morel
E-0375,23.923,L. Dubois
E-0376,25.768,R. Perrin
E-0377,24.069,R. Perrin
E-0378,24.618,A. Morel
E-0379,25.765,A. Morel
E-0380,25.602,L. Dubois
E-0381,24.492,A. Morel
E-0382,25.917,A. Morel
E-0383,24.347,A. Morel
E-0384,23.584,R. Perrin
E-0385,25.412,L. Dubois
E-0386,24.966,R. Perrin
E-0387,26.714,L. Dubois
E-0388,25.824,L. Dubois
E-0389,25.02,A. Morel
E-0390,25.528,L. Dubois
E-0391,25.765,A. Morel
E-0392,32.177,A. Morel
E-0393,24.818,A. Morel
E-0394,24.58,L. Dubois
E-0395,25.068,L. Dubois
E-0396,25.158,L. Dubois
E-0397,24.793,R. Perrin
E-0398,25.184,L. Dubois
E-0399,24.233,A. Morel
E-0400,25.479,L. Dubois
E-0401,24.16,R. Perrin
E-0402,23.203,R. Perrin
E-0403,25.905,R. Perrin
E-0404,25.364,A. Morel
E-0405,23.33,R. Perrin
E-0406,26.383,R. Perrin
E-0407,24.488,A. Morel
E-0408,24.456,A. Morel
E-0409,25.016,L. Dubois
E-0410,24.682,L. Dubois
E-0411,24.882,R. Perrin
E-0412,24.739,R. Perrin
E-0413,25.674,R. Perrin
E-0414,24.379,A. Morel
E-0415,23.965,A. Morel
E-0416,25.271,R. Perrin
E-0417,24.67,L. Dubois
E-0418,25.37,R. Perrin
E-0419,24.48,A. Morel
E-0420,26.825,L. Dubois
E-0421,24.616,A. Morel
E-0422,25.784,R. Perrin
E-0423,25.243,R. Perrin
E-0424,25.768,R. Perrin
E-0425,24.902,R. Perrin
E-0426,23.839,A. Morel
E-0427,24.318,R. Perrin
E-0428,25.436,A. Morel
E-0429,24.308,R. Perrin
E-0430,24.343,R. Perrin
E-0431,25.019,L. Dubois
E-0432,25.866,L. Dubois
E-0433,24.835,A. Morel
E-0434,25.075,A. Morel
E-0435,24.85,A. Morel
E-0436,24.515,R. Perrin
E-0437,24.883,R. Perrin
E-0438,24.651,R. Perrin
E-0439,24.345,L. Dubois
E-0440,24.796,R. Perrin
E-0441,25.164,L. Dubois
E-0442,24.177,L. Dubois
E-0443,24.168,R. Perrin
E-0444,26.092,L. Dubois
E-0445,26.044,L. Dubois
E-0446,24.758,A. Morel
E-0447,25.902,R. Perrin
E-0448,25.738,R. Perrin
E-0449,23.724,L. Dubois
E-0450,24.386,L. Dubois
E-0451,24.647,R. Perrin
E-0452,23.21,L. Dubois
E-0453,24,R. Perrin
E-0454,25.215,L. Dubois
E-0455,26.336,A. Morel
E-0456,17.524,A. Morel
E-0457,23.98,A. Morel
E-0458,25.312,R. Perrin
E-0459,26.062,A. Morel
E-0460,25.594,R. Perrin
E-0461,24.24,L. Dubois
E-0462,25.049,R. Perrin
E-0463,23.23,L. Dubois
E-0464,25.452,A. Morel
E-0465,26.13,L. Dubois
E-0466,25.034,A. Morel
E-0467,25.43,R. Perrin
E-0468,24.522,A. Morel
E-0469,25.817,A. Morel
E-0470,24.121,L. Dubois
E-0471,25.041,L. Dubois
E-0472,24.818,R. Perrin
E-0473,25.391,A. Morel
E-0474,25.794,L. Dubois
E-0475,23.777,L. Dubois
E-0476,25.967,A. Morel
E-0477,24.321,R. Perrin
E-0478,24.453,A. Morel
E-0479,24.709,L. Dubois
E-0480,25.64,L. Dubois
E-0481,23.315,R. Perrin
E-0482,24.788,L. Dubois
E-0483,23.841,L. Dubois
E-0484,23.475,R. Perrin
E-0485,26.335,R. Perrin
E-0486,25.134,A. Morel
E-0487,26.344,R. Perrin
E-0488,24.971,A. Morel
E-0489,23.712,L. Dubois
E-0490,25.335,L. Dubois
E-0491,25.306,A. Morel
E-0492,24.189,A. Morel
E-0493,25.711,A. Morel
E-0494,25.346,L. Dubois
E-0495,25.683,A. Morel
E-0496,23.625,R. Perrin
E-0497,24.342,L. Dubois
E-0498,25.362,A. Morel
E-0499,25.231,R. Perrin
E-0500,24.876,A. Morel
E-0501,23.507,A. Morel
E-0502,26.307,A. Morel
E-0503,24.165,L. Dubois
E-0504,26.752,R. Perrin
E-0505,24.654,A. Morel
E-0506,25.794,R. Perrin
E-0507,25.031,A. Morel
E-0508,24.412,L. Dubois
E-0509,24.859,R. Perrin
E-0510,25.049,A. Morel
E-0511,25.964,A. Morel
E-0512,25.439,R. Perrin
E-0513,40.425,A. Morel
E-0514,26.208,A. Morel
E-0515,25.2,A. Morel
E-0516,23.973,R. Perrin
E-0517,25.199,A. Morel
E-0518,25.09,A. Morel
E-0519,25.463,A. Morel
E-0520,25.358,R. Perrin
E-0521,25.115,L. Dubois
E-0522,25.169,L. Dubois
E-0523,25.74,L. Dubois
E-0524,24.82,R. Perrin
E-0525,24.479,A. Morel
E-0526,25.171,L. Dubois
E-0527,25.261,R. Perrin
E-0528,24.69,R. Perrin
E-0529,16.657,A. Morel
E-0530,24.633,R. Perrin
E-0531,25.508,R. Perrin
E-0532,24.761,L. Dubois
E-0533,24.187,A. Morel
E-0534,22.486,R. Perrin
E-0535,17.275,R. Perrin
E-0536,24.081,A. Morel
E-0537,24.45,A. Morel
E-0538,25.182,A. Morel
E-0539,25.326,A. Morel
E-0540,25.283,L. Dubois
E-0541,23.724,R. Perrin
E-0542,25.635,R. Perrin
E-0543,24.45,L. Dubois
E-0544,25.373,A. Morel
E-0545,24.798,A. Morel
E-0546,24.358,R. Perrin
E-0547,26.366,A. Morel
E-0548,25.188,R. Perrin
E-0549,26.004,L. Dubois
E-0550,25.034,L. Dubois
E-0551,25.535,A. Morel
E-0552,26.395,L. Dubois
E-0553,24.809,A. Morel
E-0554,26.31,A. Morel
E-0555,25.729,A. Morel
E-0556,24.58,L. Dubois
E-0557,24.349,L. Dubois
E-0558,25.632,A. Morel
E-0559,25.907,L. Dubois
E-0560,24.3,L. Dubois
E-0561,23.889,R. Perrin
E-0562,23.628,A. Morel
E-0563,25.451,A. Morel
E-0564,25.322,L. Dubois
E-0565,25.935,R. Perrin
E-0566,24.964,A. Morel
E-0567,24.783,A. Morel
E-0568,24.541,R. Perrin
E-0569,25.51,R. Perrin
E-0570,23.218,L. Dubois
E-0571,24.724,A. Morel
E-0572,24.4,A. Morel
E-0573,24.495,A. Morel
E-0574,24.645,R. Perrin
E-0575,25.028,A. Morel
E-0576,24.294,L. Dubois
E-0577,24.053,R. Perrin
E-0578,23.686,R. Perrin
E-0579,25.164,R. Perrin
E-0580,25.358,A. Morel
E-0581,24.601,A. Morel
E-0582,24.604,L. Dubois
E-0583,25.244,A. Morel
E-0584,15.25,L. Dubois
E-0585,22.743,A. Morel
E-0586,24.636,A. Morel
E-0587,25.996,A. Morel
E-0588,24.559,A. Morel
E-0589,23.784,R. Perrin
E-0590,26.067,L. Dubois
E-0591,26.275,L. Dubois
E-0592,26.668,R. Perrin
E-0593,24.427,L. Dubois
E-0594,25,L. Dubois
E-0595,26.073,L. Dubois
E-0596,26.188,A. Morel
E-0597,25.285,L. Dubois
E-0598,25.428,L. Dubois
E-0599,17.429,L. Dubois
E-0600,24.772,L. Dubois
