id,montant,categorie,date
F1161,2.2,Services,2025-10-19
F1162,8.29,Services,2025-08-24
F1163,8.75,Logistique,2025-12-24
F1164,168780.14,Materiel,2025-05-24
F1165,3233.7,Logistique,2025-09-19
F1166,8441.29,Materiel,2025-01-11
F1167,1.89,Fournitures,2025-05-03
F1168,30.49,Consulting,2025-04-22
F1169,166982.02,Consulting,2025-05-25
F1170,5874.96,Services,2025-04-08
F1171,159247.72,Materiel,2025-07-09
F1172,3599.9,Marketing,2025-05-03
F1173,44.55,Deplacements,2025-13-28
F1174,1.72,Deplacements,2025-10-01
F1175,1.47,Consulting,2025-09-17
F1176,14805.09,Deplacements,2025-01-28
F1177,3147.63,Marketing,2025-02-19
F1178,578.78,Services,2025-04-14
F1179,59480.84,Consulting,2025-04-26
F1180,8.48,Services,2025-01-27
F1181,11706.68,Logistique,2025-09-23
F1182,80.93,Marketing,2025-01-14
F1183,572.31,Marketing,2025-05-18
F1184,1.09,Materiel,2025-05-09
F1185,7.35,Deplacements,2025-07-16
F1186,72.15,Services,2025-05-12
F1187,129.64,Materiel,2025-11-14
F1188,6272.02,Marketing,2025-04-03
F1189,214456.07,Fournitures,2025-02-04
F1190,22970.06,Marketing,2025-09-28
F1191,1.12,Services,2025-09-22
F1192,56.73,Materiel,2025-08-01
F1193,41760.93,Services,2025-07-20
F1194,79.95,Consulting,2025-10-17
F1195,7275.53,Consulting,2025-05-24
F1196,3576.77,Marketing,2025-01-22
F1197,8.23,Fournitures,2025-06-11
F1198,16038.99,Logistique,2025-04-03
F1199,194817.7,Materiel,2025-10-16
F1200,29.04,Deplacements,2025-08-26
F1201,3931.97,Fournitures,2025-10-26
F1202,238.29,Services,2025-07-07
F1203,49.37,Fournitures,2025-01-17
F1204,66.3,Deplacements,2025-05-28
F1205,9.07,Fournitures,2025-06-11
F1206,5.22,Deplacements,2025-05-05
F1207,151.14,Deplacements,2025-09-01
F1208,221.5,Services,2025-09-14
F1209,293274.44,Materiel,2025-03-21
F1210,1284.61,Deplacements,2025-11-03
F1211,4209.94,Materiel,2025-01-14
F1212,12.1,Fournitures,2025-02-11
F1213,437.65,Logistique,2025-10-10
F1214,29745.94,Deplacements,2025-07-17
F1215,622.82,Logistique,2025-01-21
F1216,13.05,Fournitures,2025-02-01
F1217,19957.5,Marketing,2025-10-14
F1218,7227.77,Marketing,2025-04-08
F1219,1.94,Materiel,2025-04-17
F1220,99.7,Services,2025-06-07
F1221,160.67,Logistique,2025-05-21
F1222,209.73,Fournitures,2025-01-05
F1223,388.45,Services,2025-07-05
F1224,944.31,Deplacements,2025-09-07
F1225,4453.53,Deplacements,2025-11-21
F1226,727.9,Services,2025-08-21
F1227,26.47,Marketing,2025-12-26
F1228,1092.76,Deplacements,2025-08-08
F1229,2856.19,Deplacements,2025-07-19
F1230,3038.01,Fournitures,2025-11-05
F1231,1.73,Consulting,2025-11-08
F1232,175.69,Materiel,2025-12-27
F1233,550.7,Deplacements,2025-01-03
F1234,2.81,Marketing,2025-11-27
F1235,4439.2,Consulting,2025-12-03
F1236,175378.68,Logistique,2025-12-15
F1237,15.09,Consulting,2025-02-19
F1238,42779.8,Materiel,2025-07-13
F1239,71746.32,Materiel,2025-03-24
F1240,147.35,Materiel,2025-08-16
F1241,161.07,Consulting,2025-08-07
F1242,6.22,Services,2025-09-20
F1243,401.95,Services,2025-10-12
F1244,51.74,Fournitures,2025-10-15
F1245,10224.26,Fournitures,2025-05-12
F1246,54.92,Consulting,2025-04-09
F1247,55.63,Fournitures,2025-02-09
F1248,7.97,Logistique,2025-09-15
F1249,155.15,Logistique,2025-11-09
F1250,613.26,Materiel,2025-02-28
F1251,2.06,Fournitures,2025-04-07
F1252,1.78,Consulting,2025-12-24
F1253,14.73,Services,2025-05-15
F1254,32304.2,Consulting,2025-08-07
F1255,3.04,Deplacements,2025-10-27
F1256,1128.89,Services,2025-03-23
F1257,220325.77,Materiel,2025-11-08
F1258,73254.43,Consulting,2025-02-03
F1259,45.07,Materiel,2025-05-21
F1260,1.41,Materiel,2025-10-08
F1261,3031.69,Marketing,2025-10-01
F1262,10036.18,Materiel,2025-09-06
F1263,25.06,Fournitures,2025-03-12
F1264,12331.91,Consulting,2025-05-28
F1265,5.36,Consulting,2025-07-15
F1266,10.44,Logistique,2025-07-20
F1267,8633.63,Deplacements,2025-06-16
F1268,327.08,Services,2025-01-02
F1269,26767.55,Logistique,2025-01-01
F1270,53.73,Fournitures,2025-05-23
F1271,7.92,Fournitures,2025-10-09
F1272,18.76,Consulting,2025-03-08
F1273,13871.28,Deplacements,2025-07-15
F1274,47667.28,Logistique,2025-04-02
F1275,111.44,Materiel,2025-11-18
F1276,2.96,Consulting,2025-02-14
F1277,286927.85,Logistique,2025-09-05
F1278,13840.7,Marketing,2025-08-05
F1279,59217.55,Services,2025-08-04
F1280,11.6,Materiel,2025-08-20
F1281,12277.69,Deplacements,2025-04-09
F1282,2.06,Marketing,2025-09-27
F1283,162.39,Fournitures,2025-10-10
F1284,17425.52,Marketing,2025-13-28
F1285,150216.08,Materiel,2025-06-12
F1286,422.63,Services,2025-07-20
F1287,95.49,Materiel,2025-07-07
F1288,19.79,Consulting,2025-07-27
F1289,1048.79,Deplacements,2025-06-04
F1290,13220.68,Consulting,2025-04-20
F1291,29993.82,Services,2025-08-12
F1292,10452.97,Materiel,2025-06-24
F1293,208.49,Services,2025-06-10
F1294,281267.84,Services,2025-04-11
F1295,61945.65,Materiel,2025-03-08
F1296,49.06,Marketing,2025-08-02
F1297,476799.18,Fournitures,2025-12-17
F1298,373.72,Deplacements,2025-06-11
F1299,51.29,Deplacements,2025-11-09
F1300,273.41,Logistique,2025-01-13
F1301,604.23,Materiel,2025-11-18
F1302,9761.85,Marketing,2025-02-24
F1303,405.14,Materiel,2025-11-18
F1304,3.7,Logistique,2025-02-22
F1305,183.49,Deplacements,2025-11-15
F1306,397.12,Logistique,2025-10-19
F1307,7.9,Fournitures,2025-07-28
F1308,282705.43,Deplacements,2025-04-21
F1309,85.41,Logistique,2025-08-11
F1310,8044.53,Marketing,2025-02-20
F1311,5.22,Services,2025-02-03
F1312,116.6,Logistique,2025-01-27
F1313,1.16,Fournitures,2025-02-01
F1314,103821.2,Services,2025-11-10
F1315,1.16,Deplacements,2025-01-14
F1316,5.39,Services,2025-09-17
F1317,435569.07,Logistique,2025-02-26
F1318,6676.26,Marketing,2025-10-02
F1319,447878.99,Deplacements,2025-06-06
F1320,10954.14,Materiel,2025-10-14
F1321,6.66,Logistique,2025-10-27
F1322,42157.97,Materiel,2025-10-06
F1323,180.44,Consulting,2025-08-16
F1324,4224.61,Consulting,2025-07-28
F1325,74622.33,Fournitures,2025-06-21
F1326,3.37,Marketing,2025-12-18
F1327,10254.26,Consulting,2025-09-25
F1328,55.37,Marketing,2025-05-12
F1329,30298.03,Logistique,2025-08-20
F1330,5809.13,Services,2025-10-19
F1331,150.83,Logistique,2025-06-04
F1332,4512.84,Marketing,2025-01-24
F1333,462945.15,Services,2025-13-25
F1334,439.18,Fournitures,2025-12-26
F1335,20.8,Fournitures,2025-06-14
F1336,400974.4,Deplacements,2025-10-16
F1337,792.6,Services,2025-03-22
F1338,80723.88,Services,2025-02-21
F1339,1.14,Materiel,2025-12-02
F1340,817.55,Fournitures,2025-06-10
F1341,966.97,Services,2025-06-08
F1342,1456.33,Fournitures,2025-02-05
F1343,6083.29,Consulting,2025-12-11
F1344,3.27,Deplacements,2025-01-02
F1345,516.82,Consulting,2025-07-05
F1346,72.59,Fournitures,2025-06-11
F1347,395559.58,Consulting,2025-11-20
F1348,1.43,Logistique,2025-07-24
F1349,14.05,Deplacements,2025-02-03
F1350,8067.61,Fournitures,2025-07-04
F1351,1810.17,Deplacements,2025-10-04
F1352,16836.15,Deplacements,2025-12-04
F1353,18697.8,Marketing,2025-06-13
F1354,747.94,Services,2025-13-02
F1355,30.5,Consulting,2025-02-13
F1356,25.55,Marketing,2025-01-24
F1357,994.44,Materiel,2025-04-25
F1358,2.2,Services,2025-06-27
F1359,3342.09,Deplacements,2025-06-17
F1360,22.84,Consulting,2025-06-18
F1361,14.98,Fournitures,2025-10-05
F1362,63.27,Marketing,2025-04-20
F1363,44451.16,Consulting,2025-05-07
F1364,95.17,Logistique,2025-10-18
F1365,454.59,Fournitures,2025-03-28
F1366,966.43,Logistique,2025-10-25
F1367,16.03,Materiel,2025-04-04
F1368,1.92,Logistique,2025-07-09
F1369,12408.18,Deplacements,2025-03-15
F1370,2097.2,Deplacements,2025-06-15
F1371,88.24,Deplacements,2025-12-13
F1372,642.63,Marketing,2025-07-17
F1373,351,Materiel,2025-11-17
F1374,16.29,Fournitures,2025-01-26
F1375,3.74,Marketing,2025-04-21
F1376,6.97,Deplacements,2025-01-02
F1377,8.94,Materiel,2025-10-22
F1378,33.55,Services,2025-02-12
F1379,1223.2,Marketing,2025-06-12
F1380,255.9,Services,2025-09-10
F1381,1528.76,Deplacements,2025-11-28
F1382,31.21,Deplacements,2025-09-07
F1383,254.01,Materiel,2025-09-13
F1384,1.02,Materiel,2025-11-03
F1385,56.32,Deplacements,2025-12-02
F1386,4.99,Consulting,2025-10-26
F1387,22633.69,Services,2025-13-01
F1388,534.77,Marketing,2025-03-21
F1389,18154.32,Consulting,2025-02-09
F1390,35291.99,Materiel,2025-02-06
F1391,68.51,Fournitures,2025-07-06
F1392,13753.24,Materiel,2025-03-24
F1393,484.47,Marketing,2025-06-02
F1394,355477.63,Fournitures,2025-07-17
F1395,21049.28,Consulting,2025-03-06
F1396,20220.97,Marketing,2025-10-19
F1397,161.78,Materiel,2025-01-13
F1398,6981.51,Fournitures,2025-09-18
F1399,4539.23,Services,2025-11-14
F1400,362815.25,Consulting,2025-11-23
F1401,42100.3,Services,2025-03-04
F1402,19310.47,Materiel,2025-06-07
F1403,36.57,Materiel,2025-08-26
F1404,4065.15,Logistique,2025-01-19
F1405,9259.87,Logistique,2025-03-01
F1406,1.05,Materiel,2025-10-19
F1407,292.7,Marketing,2025-03-26
F1408,199745.71,Consulting,2025-04-10
F1409,96776.05,Logistique,2025-08-03
F1410,83.31,Deplacements,2025-04-28
F1411,336391.85,Consulting,2025-13-01
F1412,142.93,Services,2025-01-02
F1413,366.06,Consulting,2025-05-10
F1414,765.22,Consulting,2025-08-15
F1415,41,Deplacements,2025-03-07
F1416,10446.59,Marketing,2025-06-23
F1417,20.34,Services,2025-10-01
F1418,1.47,Materiel,2025-01-16
F1419,161.76,Services,2025-07-21
F1420,4773.93,Consulting,2025-10-01
F1421,140.93,Fournitures,2025-03-22
F1422,113016.2,Materiel,2025-07-06
F1423,1.34,Consulting,2025-04-04
F1424,87253.33,Materiel,2025-09-04
F1425,304077.75,Logistique,2025-10-25
F1426,13985.91,Services,2025-04-03
F1427,25426.91,Services,2025-05-01
F1428,536.58,Logistique,2025-12-11
F1429,790.26,Materiel,2025-02-04
F1430,79.3,Fournitures,2025-07-13
F1431,9373.17,Deplacements,2025-09-22
F1432,3613.61,Logistique,2025-01-15
F1433,96.15,Marketing,2025-01-04
F1434,80.28,Consulting,2025-10-22
F1435,1.13,Deplacements,2025-08-17
F1436,8007.02,Services,2025-05-21
F1437,58811.63,Fournitures,2025-12-12
F1438,174235.1,Marketing,2025-05-10
F1439,6.18,Logistique,2025-09-18
F1440,25320.14,Materiel,2025-03-10
F1441,1.57,Consulting,2025-09-07
F1442,4303.45,Materiel,2025-08-15
F1443,156437.42,Consulting,2025-08-17
F1444,62931.15,Materiel,2025-11-12
F1445,173677.8,Logistique,2025-10-25
F1446,92.05,Materiel,2025-05-11
F1447,64656.27,Logistique,2025-06-03
F1448,45.82,Fournitures,2025-12-05
F1449,178.88,Deplacements,2025-10-11
F1450,10.18,Fournitures,2025-02-05
F1451,6751.28,Deplacements,2025-10-05
F1452,42645.95,Materiel,2025-08-15
F1453,80.41,Deplacements,2025-08-24
F1454,20.83,Materiel,2025-11-27
F1455,38749.58,Logistique,2025-10-01
F1456,5.65,Materiel,2025-09-06
F1457,774.77,Logistique,2025-06-17
F1458,3.32,Consulting,2025-13-27
F1459,4.39,Logistique,2025-01-15
F1460,512.41,Consulting,2025-02-04
F1461,66.01,Fournitures,2025-03-09
F1462,36552.04,Materiel,2025-03-06
F1463,208712.3,Marketing,2025-11-18
F1464,3341.9,Deplacements,2025-07-08
F1465,14622.27,Marketing,2025-10-08
F1466,1.58,Marketing,2025-04-15
F1467,3949.67,Deplacements,2025-08-06
F1468,165.23,Materiel,2025-07-17
F1469,3.01,Fournitures,2025-05-01
F1470,851.48,Consulting,2025-03-25
F1471,347157.14,Deplacements,2025-03-21
F1472,59.85,Marketing,2025-06-04
F1473,1.09,Fournitures,2025-07-13
F1474,12284.99,Fournitures,2025-12-23
F1475,19,Logistique,2025-09-01
F1476,40.74,Services,2025-11-02
F1477,3162.41,Fournitures,2025-02-04
F1478,852.8,Logistique,2025-04-03
F1479,762.25,Logistique,2025-09-23
F1480,8.31,Marketing,2025-09-03
F1481,1112.3,Logistique,2025-07-07
F1482,56.65,Marketing,2025-07-17
F1483,454.88,Services,2025-12-15
F1484,7.33,Consulting,2025-09-18
F1485,139811.92,Services,2025-05-12
F1486,847.74,Consulting,2025-10-20
F1487,167971.79,Fournitures,2025-09-07
F1488,4926.48,Logistique,2025-09-07
F1489,126766.38,Logistique,2025-08-08
F1490,2938.62,Marketing,2025-05-09
F1491,2.59,Services,2025-12-05
F1492,43369.02,Services,2025-03-04
F1493,70.72,Logistique,2025-09-02
F1494,6.25,Services,2025-12-02
F1495,46679.81,Services,2025-09-17
F1496,211591.63,Logistique,2025-05-14
F1497,63999.57,Fournitures,2025-03-06
F1498,1352.92,Fournitures,2025-05-06
F1499,14.88,Consulting,2025-06-04
F1500,7542.75,Consulting,2025-10-15
F1501,438213.26,Logistique,2025-07-27
F1502,1.03,Fournitures,2025-08-18
F1503,1.41,Materiel,2025-06-10
F1504,87965.43,Materiel,2025-05-24
F1505,3.91,Deplacements,2025-09-02
F1506,14940.77,Materiel,2025-09-25
F1507,828.67,Marketing,2025-02-15
F1508,311692.49,Consulting,2025-06-11
F1509,6.18,Deplacements,2025-02-21
F1510,1.59,Fournitures,2025-02-10
F1511,6.39,Services,2025-12-24
F1512,492428.78,Marketing,2025-07-14
F1513,27265.4,Marketing,2025-09-13
F1514,1123.22,Marketing,2025-09-14
F1515,361977.38,Services,2025-04-16
F1516,52151.22,Logistique,2025-11-07
F1517,100.49,Logistique,2025-05-10
F1518,5550.55,Services,2025-11-28
F1519,78394.56,Materiel,2025-10-20
F1520,113120.46,Fournitures,2025-03-14
F1521,3554,Marketing,2025-09-26
F1522,468.99,Marketing,2025-03-22
F1523,8.18,Services,2025-11-01
F1524,15192.05,Fournitures,2025-01-07
F1525,153437.57,Materiel,2025-06-09
F1526,4123.21,Logistique,2025-09-17
F1527,319.02,Materiel,2025-11-05
F1528,105234.06,Marketing,2025-06-15
F1529,300.8,Materiel,2025-05-12
F1530,396.23,Logistique,2025-11-07
F1531,30.78,Fournitures,2025-06-15
F1532,14.1,Deplacements,2025-02-06
F1533,4.24,Consulting,2025-08-12
F1534,199.41,Materiel,2025-01-06
F1535,173780.04,Consulting,2025-02-14
F1536,15615.38,Fournitures,2025-13-02
F1537,5.61,Services,2025-02-15
F1538,4453.69,Consulting,2025-06-04
F1539,1.36,Fournitures,2025-02-01
F1540,18.37,Marketing,2025-02-24
F1541,9.47,Fournitures,2025-05-05
F1542,42.43,Fournitures,2025-07-18
F1543,15169.59,Deplacements,2025-04-18
F1544,17990.31,Logistique,2025-06-22
F1545,259.64,Materiel,2025-07-15
F1546,22.13,Fournitures,2025-08-19
F1547,14.3,Marketing,2025-12-25
F1548,20070.93,Marketing,2025-03-02
F1549,3768.24,Services,2025-09-12
F1550,15745.18,Consulting,2025-03-16
F1551,92930.17,Materiel,2025-02-08
F1552,1324.82,Deplacements,2025-02-15
F1553,30.76,Materiel,2025-05-21
F1554,11184,Deplacements,2025-07-26
F1555,422.7,Deplacements,2025-08-25
F1556,271.55,Services,2025-07-25
F1557,60.53,Marketing,2025-10-11
F1558,74861.66,Marketing,2025-10-20
F1559,1.25,Consulting,2025-03-12
F1560,442762.56,Materiel,2025-04-18
F1561,590.56,Materiel,2025-10-05
F1562,68.26,Deplacements,2025-08-20
F1563,111.94,Marketing,2025-07-12
F1564,246490.93,Consulting,2025-08-09
F1565,875.22,Services,2025-05-16
F1566,26.17,Marketing,2025-09-26
F1567,50.98,Services,2025-12-23
F1568,907.51,Services,2025-10-19
F1569,67431.78,Consulting,2025-02-02
F1570,41.91,Logistique,2025-10-26
F1571,6181.42,Services,2025-08-09
F1572,34.26,Marketing,2025-06-11
F1573,78960.83,Consulting,2025-08-11
F1574,488037.68,Deplacements,2025-07-04
F1575,1.08,Materiel,2025-08-12
F1576,56.6,Services,2025-09-15
F1577,4.23,Materiel,2025-11-08
F1578,10807.46,Services,2025-01-14
F1579,695.92,Services,2025-06-08
F1580,93492.09,Materiel,2025-07-05
F1581,591.96,Services,2025-13-26
F1582,854.7,Fournitures,2025-06-12
F1583,116.68,Materiel,2025-04-13
F1584,1.31,Fournitures,2025-05-21
F1585,13213.95,Logistique,2025-01-06
F1586,202.76,Fournitures,2025-03-14
F1587,1616.83,Deplacements,2025-07-28
F1588,30.96,Logistique,2025-11-13
F1589,4.42,Deplacements,2025-09-13
F1590,489.86,Marketing,2025-02-20
F1591,1.07,Fournitures,2025-05-15
F1592,9875.29,Deplacements,2025-11-03
F1593,108091.25,Materiel,2025-12-10
F1594,8392.16,Consulting,2025-02-20
F1595,1.39,Materiel,2025-12-11
F1596,408.81,Services,2025-11-02
F1597,5.56,Materiel,2025-02-28
F1598,198.01,Services,2025-08-15
F1599,617.2,Deplacements,2025-11-24
F1600,18666.8,Materiel,2025-08-20
F1601,30.84,Deplacements,2025-02-17
F1602,201935.5,Deplacements,2025-07-17
F1603,5397.13,Deplacements,2025-12-07
F1604,15847.8,Consulting,2025-12-24
F1605,378.94,Logistique,2025-07-22
F1606,16107.93,Materiel,2025-08-15
F1607,383.64,Consulting,2025-10-04
F1608,284.79,Logistique,2025-07-19
F1609,111.06,Materiel,2025-10-21
F1610,7035.58,Services,2025-08-27
F1611,953.09,Materiel,2025-06-09
F1612,3.21,Marketing,2025-06-25
F1613,683.07,Materiel,2025-07-23
F1614,5948.13,Fournitures,2025-03-02
F1615,332.63,Materiel,2025-10-20
F1616,65462.91,Fournitures,2025-02-03
F1617,2.14,Marketing,2025-04-18
F1618,2.28,Services,2025-06-02
F1619,3.1,Materiel,2025-05-10
F1620,8593.66,Services,2025-08-25
F1621,22401.98,Fournitures,2025-09-12
F1622,24021.3,Logistique,2025-10-19
F1623,7.14,Logistique,2025-06-20
F1624,3535.13,Services,2025-08-18
F1625,132.45,Logistique,2025-12-24
F1626,4.56,Materiel,2025-08-09
F1627,366.95,Materiel,2025-10-10
F1628,76596.01,Deplacements,2025-11-22
F1629,11.24,Fournitures,2025-03-20
F1630,1.2,Materiel,2025-09-17
F1631,159362.11,Materiel,2025-08-12
F1632,801.38,Materiel,2025-09-18
F1633,274.35,Marketing,2025-08-01
F1634,15747.57,Fournitures,2025-06-14
F1635,1.79,Deplacements,2025-09-06
F1636,34563.25,Materiel,2025-11-22
F1637,12.35,Marketing,2025-02-09
F1638,14381.81,Services,2025-08-11
F1639,24.49,Logistique,2025-12-05
F1640,97386.09,Fournitures,2025-07-11
F1641,15.59,Logistique,2025-08-27
F1642,9.36,Fournitures,2025-09-13
F1643,2892.7,Consulting,2025-05-27
F1644,2.8,Services,2025-11-21
F1645,8287.63,Fournitures,2025-03-13
F1646,1431.01,Deplacements,2025-12-06
F1647,7.26,Fournitures,2025-11-11
F1648,461665.65,Logistique,2025-05-10
F1649,40880.97,Marketing,2025-02-25
F1650,1.15,Consulting,2025-01-13
F1651,5.59,Fournitures,2025-04-01
F1652,28.39,Services,2025-02-12
F1653,1581.38,Logistique,2025-08-19
F1654,29874.74,Marketing,2025-03-09
F1655,5924.15,Logistique,2025-08-15
F1656,13804.76,Logistique,2025-04-07
F1657,17.77,Materiel,2025-05-21
F1658,10450.14,Materiel,2025-09-24
F1659,448.65,Marketing,2025-07-16
F1660,30.57,Materiel,2025-06-27
F1661,17.1,Services,2025-02-05
F1662,98975.46,Marketing,2025-11-04
F1663,313.42,Logistique,2025-12-24
F1664,413481.82,Fournitures,2025-04-22
F1665,197.16,Logistique,2025-03-28
F1666,2700.9,Logistique,2025-03-07
F1667,52.75,Fournitures,2025-02-16
F1668,124452.07,Logistique,2025-03-15
F1669,9884.35,Fournitures,2025-09-04
F1670,85.41,Logistique,2025-01-18
F1671,77.71,Deplacements,2025-10-26
F1672,562.47,Deplacements,2025-06-15
F1673,3.68,Services,2025-08-12
F1674,32.79,Services,2025-13-27
F1675,26.82,Marketing,2025-04-12
F1676,37671.41,Deplacements,2025-02-02
F1677,1.62,Fournitures,2025-07-14
F1678,1690.07,Services,2025-10-25
F1679,494.5,Marketing,2025-10-22
F1680,4044.17,Logistique,2025-10-04
F1681,10.19,Materiel,2025-07-06
F1682,498754.02,Consulting,2025-08-07
F1683,33.74,Marketing,2025-02-01
F1684,424.24,Materiel,2025-04-06
F1685,443.32,Deplacements,2025-10-22
