ville,population,departement
Roquefort,592,55
Grandval-sur-Aine,620310,9
Chantoiseau,961462,80
Clairmont,100631,35
Estrées,3655,89
Combray,1428638,32
Nordheim,1937,11
Pontoise-les-Bains,49879,95
Fontenay-sur-Aine,7625,86
Beaulieu,311887,95
Bourgville,524755,41
Valcourt,21038,16
Grandval,1336378,42
Chantoiseau,2784,91
Larchamp,120654,41
Loudéac-sur-Aine,24897,34
Aubrac,1312,8
Aubrac,14456,15
Nordheim,1124,29
Clairmont,1770,19
Riverdale,473637,22
Roquefort,1092969,80
Sarnac-sur-Aine,12381,72
Estrées,2204,79
Solignac,211072,62
Marchamp,26500,72
Verchamp,486563,27
Grandval,1083,16
Estrées,951963,17
Riverdale-sur-Aine,29766,44
Combray,1244,81
Pontoise-les-Bains,237440,4
Clairmont,962,87
Vaucelles,210191,89
Solignac,595214,34
Riverdale,808837,82
Illiers-sur-Aine,213564,78
Ferrieres,25990,57
Neuvic,132185,72
Illiers,1300454,76
Loudéac,853443,18
Nordheim,71100,92
Bellerive,32529,9
Chantoiseau-sur-Aine,5238,32
Riverdale,75041,20
Roquefort,505588,92
Sainte-Ode,58319,43
Ferrieres,2099,75
Roquefort,731,21
Verchamp,769,60
Marchamp-sur-Aine,55085,52
Belleville,766826,15
Sarnac,102708,72
Montplaisir,33313,55
Illiers,44605,33
Pontoise-les-Bains,60570,42
Grandval,5887,71
Grandval-sur-Aine,16397,20
Clairmont,15014,44
Valcourt,500,69
Aubrac,850408,90
Illiers,209,53
Roquefort,2556,75
Montplaisir,4146,86
Montplaisir-sur-Aine,8165,66
Sarnac,47412,50
Montorge,1090,95
Combray,739,45
Combray,363992,6
Belleville,5878,52
Marchamp,26641,44
Montplaisir-sur-Aine,2282,2
Illiers,78757,23
Sainte-Ode,414656,78
Grandval,850319,25
Chantoiseau,109197,8
Combray,271,4
Neuvic,335,3
Solignac-sur-Aine,252,30
Ferrieres,593,95
Aubrac,172436,79
Ferrieres,318842,25
Ferrieres,189811,11
Valcourt,1698219,13
Larchamp,423,44
Loudéac-sur-Aine,1712,32
Marchamp,31167,88
Montorge,1546544,68
Aubrac,2588,3
Ferrieres,138197,86
Charmoy,219482,57
Estrées,11187,44
Vaucelles-sur-Aine,506,20
Bellerive,884615,34
Ferrieres,1287814,83
Nordheim,1017,92
Nordheim,1097,11
Ferrieres,243448,59
Montorge,145524,72
Montorge-sur-Aine,681286,7
Roquefort,535,51
Illiers,38368,31
Fontenay,910922,21
Montplaisir,378,36
Riverdale,58653,43
Grandval,206,38
Beaulieu-sur-Aine,245962,83
Pontoise-les-Bains,22472,31
Verchamp,573,20
Nordheim,8408,3
Ferrieres,383,95
Clairmont,383,10
Illiers,716031,70
Combray-sur-Aine,7749,79
Sarnac,789,79
Loudéac,855,6
Verchamp,121136,87
Illiers,3057,73
Chantoiseau,8424,88
Ferrieres,77463,55
Neuvic-sur-Aine,8113,58
Grandval,352348,11
Grandval,496018,17
Montplaisir,1833,82
Montplaisir,126954,18
Roquefort,227,77
Estrées,491,12
Neuvic-sur-Aine,1357,41
Vaucelles,241,93
Sarnac,255,10
Estrées,4941,73
Estrées,34870,47
Ferrieres,271,73
Chantoiseau,275198,58
Bellerive-sur-Aine,1286007,11
Beaulieu,282452,90
Vaucelles,1482716,27
Sarnac,240,58
Clairmont,1108370,41
Ferrieres,916,85
Verchamp,894253,84
Bourgville-sur-Aine,32865,17
Chantoiseau,798771,79
Chantoiseau,32003,79
Bellerive,95619,73
Verchamp,372,49
Nordheim,527,84
Pontoise-les-Bains,92677,41
Grandval-sur-Aine,1760,87
Valcourt,66456,73
Fontenay,1344,29
Charmoy,1504,38
Riverdale,716,27
Marchamp,33503,3
Belleville,697,12
Grandval-sur-Aine,25828,41
Charmoy,1326,93
Vaucelles,17649,13
Sainte-Ode,362,15
Aubrac,486,16
Belleville,1179318,59
Grandval,397,24
Beaulieu-sur-Aine,3275,5
Neuvic,86127,22
Marchamp,3741,54
Roquefort,780,5
Clairmont,74942,81
Beaulieu,1961195,71
Illiers,443,82
Montplaisir-sur-Aine,490,9
Verchamp,18351,21
Sarnac,264,87
Beaulieu,867682,17
Sainte-Ode,1530,19
Illiers,486,46
Pontoise-les-Bains,1137,35
Montorge-sur-Aine,1458181,92
Estrées,37781,27
Verchamp,5128,19
Illiers,550188,27
Sarnac,5574,50
Chantoiseau,383,74
Belleville,281,54
Clairmont-sur-Aine,341,42
Grandval,327,55
Aubrac,291465,57
Bourgville,2447,29
Ferrieres,10507,51
Sainte-Ode,2339,48
Larchamp,1813263,27
Bourgville-sur-Aine,42585,16
Pontoise-les-Bains,308,20
Solignac,2853,7
Sainte-Ode,1153921,35
Bellerive,53181,71
Loudéac,146966,1
Clairmont,698,62
Nordheim-sur-Aine,439,13
Clairmont,1756158,70
Bourgville,73087,67
Larchamp,144493,31
Belleville,14464,51
Vaucelles,317,19
Bourgville,982,12
Estrées-sur-Aine,477734,46
Ferrieres,1836213,43
Bellerive,326293,59
Sainte-Ode,386566,34
Clairmont,8978,72
Neuvic,848,61
Nordheim,27396,75
Illiers-sur-Aine,671,44
Beaulieu,1995,39
Roquefort,213113,40
Illiers,34687,7
Bourgville,1185483,43
Marchamp,1686,14
Verchamp,66166,14
Larchamp-sur-Aine,17361,64
Sainte-Ode,264,34
Belleville,150937,76
Montplaisir,279027,76
Combray,14709,41
Grandval,298,85
Verchamp,4116,75
Clairmont-sur-Aine,32064,36
Montorge,83351,20
Riverdale,288051,45
Sainte-Ode,56923,67
Charmoy,614,49
Riverdale,30545,86
Pontoise-les-Bains,10889,27
Grandval-sur-Aine,348568,30
Verchamp,24802,33
Sainte-Ode,1129179,20
Clairmont,97319,34
Vaucelles,3862,71
Clairmont,106221,74
Bellerive,382153,16
Sarnac-sur-Aine,8627,95
Loudéac,92378,61
Clairmont,1400,44
Riverdale,7061,14
Nordheim,43110,6
Beaulieu,79666,24
Sainte-Ode,1377891,15
Combray-sur-Aine,17457,43
Chantoiseau,3229,78
Loudéac,1328386,17
Fontenay,178869,24
Marchamp,387754,65
Aubrac,672,19
Valcourt,61079,90
Loudéac-sur-Aine,48066,94
Loudéac,74897,9
Nordheim,372097,18
Chantoiseau,104610,3
Roquefort,236,47
Vaucelles,27174,69
Illiers,12404,16
Illiers-sur-Aine,205,73
Grandval,524435,63
Fontenay,3154,12
Ferrieres,2671,36
Grandval,724,44
Marchamp,1540087,44
Bourgville,227248,17
Montorge-sur-Aine,33213,60
Valcourt,206407,89
Charmoy,2321,4
Riverdale,123184,90
Charmoy,3752,11
Montorge,6571,2
Combray,47242,79
Neuvic-sur-Aine,374641,20
Clairmont,334,39
Neuvic,1026532,38
Roquefort,3951,2
Fontenay,36323,58
Sainte-Ode,79468,92
Loudéac,1932907,79
Valcourt-sur-Aine,213668,12
Grandval,31342,62
Nordheim,70586,84
Illiers,14198,80
Belleville,2569,68
Nordheim,3447,11
Sainte-Ode,331,81
Beaulieu-sur-Aine,949204,23
Belleville,4572,42
Neuvic,11730,21
Neuvic,11246,67
Larchamp,1580,29
Valcourt,198351,22
Combray,3493,19
Valcourt-sur-Aine,673,13
Verchamp,361,69
Illiers,15644,82
Valcourt,297,22
Illiers,1503438,18
Aubrac,58411,32
Beaulieu,123087,16
Roquefort-sur-Aine,641,64
Sainte-Ode,12670,34
Estrées,3851,83
Marchamp,4477,92
Sainte-Ode,45356,71
Neuvic,251659,84
Sarnac,90065,81
Combray-sur-Aine,44721,18
Bellerive,290,20
Estrées,23924,37
Ferrieres,214,7
Aubrac,211,39
Clairmont,3466,53
Estrées,221532,52
Neuvic-sur-Aine,203820,3
Ferrieres,17986,46
Riverdale,23589,25
Nordheim,4769,60
Solignac,319,83
Loudéac,27683,32
Beaulieu,200357,40
Pontoise-les-Bains-sur-Aine,5679,20
Neuvic,18385,90
Combray,18120,29
Pontoise-les-Bains,5560,74
Solignac,2440,58
Loudéac,361,11
Bellerive,265,82
Bourgville-sur-Aine,1370,56
Charmoy,584692,95
Riverdale,392,73
Valcourt,1487,39
Combray,235,78
Beaulieu,116709,85
Belleville,362829,29
Illiers-sur-Aine,240138,34
Solignac,1548,65
Aubrac,184500,17
Grandval,1344080,38
Verchamp,34025,3
Aubrac,3445,82
Neuvic,433640,81
Roquefort-sur-Aine,2674,20
Charmoy,547619,80
Verchamp,56395,95
Verchamp,5577,61
Pontoise-les-Bains,799,25
Sarnac,1816,12
Vaucelles,18109,10
Nordheim-sur-Aine,8049,27
Pontoise-les-Bains,82825,24
Beaulieu,273977,19
Sainte-Ode,44085,91
Bourgville,4993,60
Riverdale,1969570,36
Ferrieres,1689845,9
Fontenay-sur-Aine,43641,94
Sarnac,3503,75
Loudéac,357812,15
Neuvic,364,34
Illiers,2619,11
Combray,210,29
Nordheim,31001,52
Vaucelles-sur-Aine,1007242,49
Montplaisir,251973,43
Beaulieu,58122,67
Clairmont,119774,79
Loudéac,2948,47
Vaucelles,12012,18
Bellerive,1359,29
Pontoise-les-Bains-sur-Aine,1587,7
Charmoy,317484,33
Marchamp,9975,68
Verchamp,11299,38
Grandval,35153,51
Charmoy,417041,86
Grandval,153181,12
Clairmont-sur-Aine,3118,89
Montorge,49040,54
Neuvic,3556,61
Verchamp,47118,81
Nordheim,442,61
Belleville,28844,16
Loudéac,319,46
Vaucelles-sur-Aine,409,7
Belleville,2384,55
Solignac,250,89
Neuvic,7241,31
Combray,11768,86
Sainte-Ode,109394,16
Valcourt,1204396,32
Combray-sur-Aine,16608,18
Beaulieu,393552,76
Nordheim,355,17
Verchamp,355481,69
Grandval,2388,52
Pontoise-les-Bains,898476,85
Vaucelles,120482,87
Combray-sur-Aine,40535,28
Sainte-Ode,13012,83
Fontenay,12373,43
Charmoy,67005,54
Beaulieu,141164,83
Illiers,164593,15
Sarnac,2360,50
Clairmont-sur-Aine,950,23
Roquefort,314,22
Riverdale,172423,84
Riverdale,1532,54
Montplaisir,64429,61
Clairmont,1417220,42
Verchamp,4882,55
Sarnac-sur-Aine,7963,45
Sainte-Ode,7489,82
Valcourt,3268,91
Grandval,25693,37
Aubrac,7504,34
Bourgville,631,14
Sainte-Ode,1866,37
Valcourt-sur-Aine,316,88
Loudéac,2178,92
Vaucelles,192139,82
Neuvic,199221,32
Marchamp,965085,55
Sainte-Ode,1054,26
Larchamp,819,34
Chantoiseau-sur-Aine,824,23
Roquefort,253031,46
Sarnac,426,59
Roquefort,1739,34
Illiers,38174,17
Larchamp,28068,15
Solignac,1924,18
Neuvic-sur-Aine,19675,6
Charmoy,44607,41
Belleville,1703652,11
Ferrieres,160527,89
Bellerive,1281,15
Beaulieu,386267,88
Bourgville,1097274,6
Loudéac-sur-Aine,2756,67
Montorge,9186,17
Chantoiseau,10874,54
Fontenay,4315,8
Nordheim,220,9
Estrées,25435,74
Solignac,1045,24
Ferrieres-sur-Aine,5243,71
Fontenay,239253,89
Charmoy,41926,3
Bellerive,344,81
Estrées,628,66
Estrées,4936,47
Charmoy,996533,74
Aubrac-sur-Aine,640849,17
Neuvic,12492,73
Charmoy,16489,30
Pontoise-les-Bains,9056,53
Belleville,2460,86
Clairmont,2309,39
Combray,188985,76
Larchamp-sur-Aine,1775,70
Riverdale,11973,48
Belleville,10425,47
Combray,1795,84
Sarnac,257,58
Bourgville,277,7
Bourgville,253,8
Nordheim-sur-Aine,25418,10
Combray,1007869,22
Chantoiseau,104287,11
Loudéac,141798,9
Neuvic,15893,4
Montorge,1042558,2
Nordheim,140417,45
Solignac-sur-Aine,700,62
Montorge,11840,24
Marchamp,2213,5
Nordheim,156198,79
Solignac,1081,13
Loudéac,752854,93
Beaulieu,316466,43
Pontoise-les-Bains-sur-Aine,1138,49
Chantoiseau,2584,43
Illiers,259,1
Grandval,534813,77
Clairmont,480639,81
Roquefort,4129,89
Solignac,17861,13
Ferrieres-sur-Aine,7457,46
Ferrieres,5984,86
Bourgville,6950,75
Bellerive,552136,7
Charmoy,25369,14
Grandval,377,51
Montorge,148813,27
Vaucelles-sur-Aine,1690727,5
Montorge,13548,52
Nordheim,2044,53
Fontenay,19831,87
Ferrieres,48534,29
Fontenay,4141,85
Vaucelles,78261,86
Vaucelles-sur-Aine,7249,57
Illiers,107993,39
Montorge,52411,38
Montplaisir,1181640,60
Fontenay,41455,56
Marchamp,114193,92
Pontoise-les-Bains,148351,22
Sainte-Ode-sur-Aine,632,89
Chantoiseau,1390,75
Montorge,2986,88
Bellerive,154460,88
Estrées,1068529,11
Verchamp,127086,26
Belleville,2851,43
Pontoise-les-Bains-sur-Aine,63770,45
Marchamp,17826,86
Illiers,92568,8
Neuvic,1559,93
Pontoise-les-Bains,147616,65
Larchamp,715,74
Estrées,1615027,56
Loudéac-sur-Aine,219,93
Illiers,714821,80
Beaulieu,31733,20
Sarnac,2092,29
Chantoiseau,1158,28
Neuvic,410645,9
Neuvic,50532,4
Riverdale-sur-Aine,594717,31
Estrées,294,93
Clairmont,25307,11
Chantoiseau,5112,12
Roquefort,264,63
Roquefort,2052,13
Solignac,332931,54
Estrées-sur-Aine,17961,37
Montplaisir,1223,53
Belleville,66936,51
Sainte-Ode,772,30
Sainte-Ode,11295,9
Combray,511,65
Bourgville,151861,13
Sainte-Ode-sur-Aine,44998,25
Illiers,8998,31
Chantoiseau,689,18
Bellerive,6599,11
Belleville,22316,86
Solignac,48175,92
Fontenay,831,36
Verchamp-sur-Aine,423,31
Neuvic,2210,71
Marchamp,307793,47
Sainte-Ode,58701,81
Verchamp,1191060,67
Clairmont,162370,3
Vaucelles,526,18
Solignac-sur-Aine,10091,19
Estrées,533718,77
Verchamp,183753,70
Sarnac,3629,65
Estrées,17510,90
Larchamp,295768,31
Clairmont,2637,26
Fontenay-sur-Aine,198906,23
Loudéac,3757,89
Charmoy,68602,37
Montorge,11000,27
Loudéac,2552,80
Larchamp,1709,60
Grandval,1594282,77
Charmoy-sur-Aine,834242,43
Larchamp,257,44
Beaulieu,49256,43
Beaulieu,100559,28
Charmoy,215,45
Fontenay,5720,15
Vaucelles,4312,43
Sainte-Ode-sur-Aine,302389,1
Estrées,632800,19
Aubrac,1064481,68
Valcourt,222193,48
Marchamp,73913,86
Bourgville,1271604,95
Verchamp,692,15
Bellerive-sur-Aine,1866480,71
Aubrac,233575,12
Larchamp,5498,42
Clairmont,564,69
Solignac,384816,75
Verchamp,54645,87
Valcourt,464,80
Roquefort-sur-Aine,200646,79
Charmoy,1116,93
Vaucelles,154584,1
Chantoiseau,19092,86
Clairmont,627342,35
Montplaisir,3779,64
Estrées,226052,46
Aubrac-sur-Aine,17126,8
Solignac,921,28
Sainte-Ode,2315,47
Larchamp,224395,13
Clairmont,201,51
Neuvic,829827,87
Beaulieu,14873,2
Neuvic-sur-Aine,1221,46
Belleville,37995,21
Estrées,236,22
Neuvic,82671,3
Vaucelles,443773,61
Roquefort,9124,63
Vaucelles,209,54
Illiers-sur-Aine,212,64
Larchamp,20377,83
Loudéac,2809,93
Solignac,243,10
Roquefort,4970,89
Nordheim,88544,26
Sarnac,119791,59
Illiers-sur-Aine,1205,91
Bourgville,2816,48
Bourgville,27517,62
Aubrac,1120,87
Belleville,5888,41
Grandval,6505,8
Grandval,861,28
Riverdale-sur-Aine,101884,89
Bourgville,651,44
Solignac,27176,2
Verchamp,3697,49
Loudéac,1417,43
Charmoy,22628,56
Fontenay,1199965,64
Verchamp-sur-Aine,107841,87
Grandval,1237,94
Fontenay,18622,90
Ferrieres,452258,24
Bourgville,9595,46
Solignac,10515,2
Montorge,104813,33
Montplaisir-sur-Aine,114291,87
Montplaisir,538448,8
Verchamp,165968,12
Estrées,3116,67
Fontenay,10592,23
Roquefort,1729,78
Montorge,7189,86
Grandval-sur-Aine,1328517,48
Pontoise-les-Bains,773,11
Bellerive,5819,14
Combray,323166,62
Illiers,404177,28
Chantoiseau,1459,86
Pontoise-les-Bains,768,88
Valcourt-sur-Aine,41441,51
Solignac,6725,23
Aubrac,9191,49
Pontoise-les-Bains,1977672,69
Montplaisir,6341,29
Fontenay,1991419,69
Valcourt,13567,60
Marchamp-sur-Aine,1007387,19
Belleville,11669,19
Grandval,87725,10
Charmoy,3347,5
Illiers,419,33
Larchamp,342,61
Clairmont,97173,20
Roquefort-sur-Aine,3436,6
Combray,75886,21
Montplaisir,396799,70
Belleville,247902,95
Verchamp,230583,27
Combray,1625400,35
Verchamp,83612,30
Sainte-Ode-sur-Aine,53398,41
Verchamp,43011,30
Riverdale,209236,55
Sarnac,1599262,28
Aubrac,8712,11
Nordheim,5667,20
Neuvic,1490,94
Larchamp-sur-Aine,34717,9
Bourgville,224,1
Roquefort,549524,41
Verchamp,1212,91
Aubrac,8781,74
Bourgville,23823,38
Fontenay,43403,88
Bellerive-sur-Aine,22083,76
Roquefort,4831,92
Beaulieu,7413,33
Fontenay,153204,41
Larchamp,192541,30
Sainte-Ode,537,4
Clairmont,232,52
Belleville-sur-Aine,402,26
Illiers,2098,16
Vaucelles,401,37
Fontenay,633,46
Vaucelles,36791,81
Aubrac,28479,14
Montorge,558,82
Loudéac-sur-Aine,15514,57
Chantoiseau,40761,58
Fontenay,76707,72
Nordheim,4424,93
Valcourt,1288508,58
Combray,6848,65
Illiers,192872,63
Pontoise-les-Bains-sur-Aine,9791,32
Fontenay,40986,62
Ferrieres,322,91
Pontoise-les-Bains,10210,44
Neuvic,5059,17
Clairmont,1850,65
Montorge,16429,86
Valcourt-sur-Aine,14350,3
Roquefort,8470,27
Neuvic,18778,20
Beaulieu,385,61
Montorge,73548,37
Larchamp,7392,81
Estrées,12123,20
Riverdale-sur-Aine,534,28
Larchamp,5323,93
Valcourt,11545,75
Valcourt,126342,41
Larchamp,131727,29
Solignac,228923,88
Neuvic,4504,89
Illiers-sur-Aine,975,14
Sainte-Ode,30254,80
Belleville,592,5
Clairmont,59847,16
Charmoy,377632,38
Pontoise-les-Bains,292,68
Chantoiseau,303807,4
Solignac-sur-Aine,19538,34
Nordheim,559,84
Neuvic,32560,59
Riverdale,116455,26
Clairmont,108030,20
Clairmont,222,33
Beaulieu,549,41
Montorge-sur-Aine,1867,31
Ferrieres,1066848,56
Larchamp,1215,25
Solignac,246,83
Verchamp,42952,61
Valcourt,73309,64
Pontoise-les-Bains,1267308,78
Vaucelles-sur-Aine,60537,85
Sainte-Ode,504,18
Estrées,3016,37
Pontoise-les-Bains,286623,75
Sainte-Ode,224,71
Belleville,17699,4
Fontenay,441378,29
Estrées-sur-Aine,2146,9
Estrées,162606,73
Chantoiseau,480884,28
Montplaisir,1799,52
Chantoiseau,771546,7
Clairmont,1734378,8
Montplaisir,40230,72
Belleville-sur-Aine,228,24
Beaulieu,93418,57
Estrées,723,45
Verchamp,112024,94
Sarnac,21928,74
Combray,338505,17
Montplaisir,1578,74
Montplaisir-sur-Aine,1318172,67
Nordheim,237,65
Fontenay,259,39
Aubrac,990,81
Bourgville,55772,36
Fontenay,3882,46
Estrées,1310627,36
Riverdale-sur-Aine,11764,51
Sarnac,11120,30
Neuvic,20423,42
Aubrac,19577,8
Estrées,4051,16
Roquefort,1391850,27
Valcourt,1761,51
Belleville-sur-Aine,867224,14
Belleville,55935,25
Combray,9276,15
Estrées,224,10
Ferrieres,385,93
Solignac,833598,13
Illiers,15571,6
Neuvic-sur-Aine,1033847,10
Grandval,995771,75
Verchamp,641,61
Bellerive,830,15
Illiers,181867,8
Solignac,5070,76
Riverdale,1033841,30
Clairmont-sur-Aine,556362,28
Sainte-Ode,81707,20
Montorge,31833,69
Sainte-Ode,226,7
Pontoise-les-Bains,44041,13
Combray,51455,70
Larchamp,18128,47
Illiers-sur-Aine,250,44
Ferrieres,6293,24
Montorge,2461,60
Charmoy,750714,79
Bellerive,120298,65
Sainte-Ode,575,27
Solignac,3376,20
Charmoy-sur-Aine,44917,76
Ferrieres,7614,75
Loudéac,2283,56
Marchamp,389,14
Loudéac,47876,89
Beaulieu,1695,18
Pontoise-les-Bains,18978,15
Belleville-sur-Aine,1364142,32
Belleville,724360,60
Ferrieres,207,58
Vaucelles,758587,55
Charmoy,141687,35
Montorge,397,67
Solignac,269,69
Sarnac-sur-Aine,5197,58
Verchamp,92034,21
Nordheim,4427,66
Vaucelles,22050,47
Illiers,1314074,3
Sainte-Ode,835,19
Fontenay,2141,51
Aubrac-sur-Aine,83674,24
Nordheim,136988,40
Sarnac,1537,80
Beaulieu,1053,73
Marchamp,769690,90
Loudéac,243612,17
Roquefort,1077116,3
Vaucelles-sur-Aine,238936,59
Marchamp,322,84
Pontoise-les-Bains,541,95
Fontenay,13213,53
Montplaisir,144976,65
Montplaisir,111391,49
Sainte-Ode,233947,29
Larchamp-sur-Aine,92386,18
Verchamp,591378,73
Marchamp,1141251,41
Roquefort,37089,27
Vaucelles,69915,72
Roquefort,1432,34
Marchamp,7244,33
Aubrac-sur-Aine,806047,11
Charmoy,57859,90
Valcourt,125181,8
Roquefort,10979,40
Sarnac,401226,45
Pontoise-les-Bains,4148,31
Ferrieres,5083,78
Fontenay-sur-Aine,1493400,2
Pontoise-les-Bains,3369,14
Estrées,9888,45
Marchamp,4388,78
Riverdale,1335976,91
Sainte-Ode,263476,9
Clairmont,136089,50
Charmoy-sur-Aine,238,40
Roquefort,37577,65
Riverdale,5843,38
Belleville,173581,23
Illiers,375,83
Vaucelles,1052,93
Valcourt,465414,36
Ferrieres-sur-Aine,56508,2
Chantoiseau,1112,55
Valcourt,1261,45
Marchamp,556307,10
Solignac,20106,67
Clairmont,90747,91
Montorge,787663,24
Charmoy-sur-Aine,202,70
Montorge,9003,24
Riverdale,183101,70
Vaucelles,1929,9
Roquefort,6426,68
Grandval,743042,53
Montorge,484,81
Marchamp-sur-Aine,40406,82
Montorge,110893,33
Sarnac,166454,13
Roquefort,2126,80
Larchamp,1141816,33
Grandval,47536,53
Charmoy,205,76
Montplaisir-sur-Aine,2443,10
Larchamp,15272,91
Nordheim,24422,5
Grandval,44858,48
Sainte-Ode,171393,90
Aubrac,6623,32
Valcourt,567375,59
Grandval-sur-Aine,280,17
Charmoy,589338,2
Chantoiseau,39430,82
Combray,2007,80
Bellerive,262,55
Sarnac,5425,42
Sainte-Ode,411593,33
Marchamp-sur-Aine,4083,9
Pontoise-les-Bains,899,92
Bourgville,597,21
Nordheim,1378052,24
Neuvic,81087,24
Bourgville,8399,60
Riverdale,42341,81
Sainte-Ode-sur-Aine,1948,64
Pontoise-les-Bains,14760,48
Chantoiseau,263586,78
Montorge,516,41
Nordheim,542774,15
Charmoy,189194,69
Montplaisir,4799,71
Pontoise-les-Bains-sur-Aine,4399,29
Charmoy,596,46
Illiers,1238634,86
Ferrieres,568,94
Fontenay,1211452,37
Sainte-Ode,2775,8
Grandval,1576836,34
Montorge-sur-Aine,1111005,16
Fontenay,1015523,79
Estrées,1374386,93
Valcourt,56270,36
Larchamp,1906863,34
Belleville,12258,63
Valcourt,17089,80
Estrées-sur-Aine,48909,89
Vaucelles,35080,26
Montplaisir,25233,30
Charmoy,92674,30
Valcourt,82474,15
Sarnac,1403,54
Solignac,307,13
Sainte-Ode-sur-Aine,2639,30
Roquefort,6083,61
Valcourt,746,14
Grandval,5015,23
Riverdale,736,56
Larchamp,3272,36
Charmoy,344702,92
Sainte-Ode-sur-Aine,606,68
Verchamp,448,38
Estrées,451,75
Montplaisir,270544,62
Ferrieres,53618,47
Valcourt,40943,81
Pontoise-les-Bains,292,8
Charmoy-sur-Aine,652,85
Combray,23911,95
Neuvic,925,70
Neuvic,304887,48
Neuvic,6493,4
Ferrieres,720,87
Larchamp,50877,82
Roquefort-sur-Aine,1166,16
Verchamp,3778,85
Combray,1476,57
Vaucelles,4645,42
Larchamp,837873,61
Nordheim,541,89
Loudéac,47956,40
Combray-sur-Aine,10747,69
Aubrac,26232,34
Neuvic,61098,46
Estrées,354662,31
Marchamp,17268,43
Illiers,359,61
Clairmont,45626,46
Montplaisir-sur-Aine,6691,89
Pontoise-les-Bains,25199,12
Montplaisir,652,82
Estrées,2699,22
Sarnac,101585,25
Grandval,16504,58
Montplaisir,852,80
Bourgville-sur-Aine,3197,54
Fontenay,626,29
Nordheim,189742,48
Estrées,1919688,21
Marchamp,1973,43
Belleville,61807,51
Estrées,476234,77
Nordheim-sur-Aine,119727,48
Montorge,238492,91
Fontenay,494827,93
Sainte-Ode,784283,58
Montplaisir,1673,10
Loudéac,143306,67
Bourgville,1413,68
Neuvic-sur-Aine,37848,63
Montplaisir,32817,73
Montplaisir,407,39
Chantoiseau,2045,33
