id,montant,fournisseur,date
TX5163,5260.05,Epsilon Consulting,2025-02-04
TX5164,9500,Gamma Services,2025-10-02
TX5165,9500,Epsilon Consulting,2025-02-11
TX5166,9000,Epsilon Consulting,2025-06-04
TX5167,2673.99,Beta Corp,2025-12-05
TX5168,8025.27,Beta Corp,2025-04-07
TX5169,4398.13,Epsilon Consulting,2025-11-04
TX5170,5394.78,Epsilon Consulting,2025-05-02
TX5171,5171.97,Alpha SARL,2025-06-02
TX5172,9643.71,Epsilon Consulting,2025-11-17
TX5173,736.99,Beta Corp,2025-01-21
TX5174,1000,Alpha SARL,2025-09-04
TX5175,9252.03,Beta Corp,2025-02-12
TX5176,70.41,Alpha SARL,2025-01-07
TX5177,2000,Alpha SARL,2025-07-20
TX5178,75.61,Beta Corp,2025-10-28
TX5179,5000,Gamma Services,2025-12-17
TX5180,9500,Alpha SARL,2025-11-01
TX5181,9487.36,Epsilon Consulting,2025-03-12
TX5182,5208.86,Alpha SARL,2025-08-20
TX5183,1500,Gamma Services,2025-12-06
TX5184,5000,Alpha SARL,2025-02-11
TX5185,9000,Alpha SARL,2025-13-02
TX5186,182.55,Alpha SARL,2025-02-03
TX5187,9093.74,Beta Corp,2025-08-20
TX5188,1859.87,Alpha SARL,2025-12-07
TX5189,2000,Gamma Services,2025-12-17
TX5190,1000,Alpha SARL,2025-04-16
TX5191,5163.16,Beta Corp,2025-10-23
TX5192,20.58,Delta Trading,2025-09-08
TX5193,9275.71,Alpha SARL,2025-01-18
TX5194,181.67,Alpha SARL,2025-02-15
TX5195,9672.62,Epsilon Consulting,2025-09-26
TX5196,341.92,Gamma Services,2025-06-21
TX5197,9000,Beta Corp,2025-01-08
TX5198,45.81,Delta Trading,2025-12-24
TX5199,2500,Gamma Services,2025-07-02
TX5200,1401.31,Beta Corp,2025-01-01
TX5201,9687.33,Delta Trading,2025-08-05
TX5202,18174.04,Delta Trading,2025-09-18
TX5203,9851.95,Beta Corp,2025-12-01
TX5204,18.53,Beta Corp,2025-08-13
TX5205,5075.12,Gamma Services,2025-04-07
TX5206,9652.56,Epsilon Consulting,2025-06-02
TX5207,49341.37,Gamma Services,2025-10-27
TX5208,5000,Epsilon Consulting,2025-12-23
TX5209,74.61,Beta Corp,2025-07-19
TX5210,72.38,Gamma Services,2025-11-24
TX5211,9674.11,Gamma Services,2025-09-21
TX5212,82.93,Epsilon Consulting,2025-11-07
TX5213,2000,Epsilon Consulting,2025-09-15
TX5214,26077.57,Alpha SARL,2025-10-28
TX5215,1500,Delta Trading,2025-12-14
TX5216,8173.42,Epsilon Consulting,2025-09-11
TX5217,500,Beta Corp,2025-02-12
TX5218,1500,Gamma Services,2025-10-16
TX5219,3881.05,Delta Trading,2025-02-07
TX5220,9500,Gamma Services,2025-05-25
TX5221,31.6,Epsilon Consulting,2025-12-14
TX5222,5000,Delta Trading,2025-12-07
TX5223,45.31,Delta Trading,2025-03-04
TX5224,9500,Beta Corp,2025-10-02
TX5225,1260.87,Delta Trading,2025-10-27
TX5226,9480.43,Epsilon Consulting,2025-04-05
TX5227,9595.01,Delta Trading,2025-11-01
TX5228,2000,Epsilon Consulting,2025-08-11
TX5229,1500,Epsilon Consulting,2025-01-14
TX5230,5286.02,Alpha SARL,2025-10-22
TX5231,4184.45,Delta Trading,2025-07-03
TX5232,1127.42,Beta Corp,2025-01-04
TX5233,5000,Gamma Services,2025-05-14
TX5234,500,Delta Trading,2025-03-03
TX5235,5000,Beta Corp,2025-04-06
TX5236,1000,Gamma Services,2025-04-12
TX5237,30.13,Alpha SARL,2025-06-12
TX5238,1899.48,Alpha SARL,2025-03-06
TX5239,2500,Gamma Services,2025-09-17
TX5240,5875.09,Beta Corp,2025-03-17
TX5241,9000,Gamma Services,2025-05-03
TX5242,21.51,Beta Corp,2025-12-09
TX5243,111.32,Gamma Services,2025-07-14
TX5244,9815.1,Gamma Services,2025-03-17
TX5245,9000,Alpha SARL,2025-01-23
TX5246,11676.58,Alpha SARL,2025-09-04
TX5247,9585.82,Beta Corp,2025-04-08
TX5248,475.13,Delta Trading,2025-08-03
TX5249,222.68,Gamma Services,2025-03-05
TX5250,57.03,Gamma Services,2025-09-16
TX5251,500,Delta Trading,2025-05-21
TX5252,9500,Delta Trading,2025-10-24
TX5253,327.46,Epsilon Consulting,2025-06-17
TX5254,9567.98,Delta Trading,2025-06-11
TX5255,1114.07,Gamma Services,2025-07-13
TX5256,9339.14,Beta Corp,2025-12-02
TX5257,9525.14,Alpha SARL,2025-11-27
TX5258,1804.43,Delta Trading,2025-04-14
TX5259,1500,Gamma Services,2025-02-15
TX5260,500,Alpha SARL,2025-02-22
TX5261,5339.7,Epsilon Consulting,2025-05-18
TX5262,766.08,Gamma Services,2025-05-04
TX5263,1000,Delta Trading,2025-06-18
TX5264,945.77,Alpha SARL,2025-05-05
TX5265,1000,Epsilon Consulting,2025-08-16
TX5266,5245.98,Gamma Services,2025-02-04
TX5267,20.43,Gamma Services,2025-09-12
TX5268,2500,Delta Trading,2025-01-09
TX5269,9500,Gamma Services,2025-07-23
TX5270,7377.97,Alpha SARL,2025-02-10
TX5271,65.53,Delta Trading,2025-05-21
TX5272,5302.49,Epsilon Consulting,2025-12-08
TX5273,5734.84,Delta Trading,2025-11-27
TX5274,9109.41,Alpha SARL,2025-01-16
TX5275,1000,Beta Corp,2025-06-05
TX5276,9000,Gamma Services,2025-03-20
TX5277,2000,Delta Trading,2025-01-05
TX5278,2000,Beta Corp,2025-13-28
TX5279,811.14,Alpha SARL,2025-04-25
TX5280,8342.51,Gamma Services,2025-11-14
TX5281,2714.67,Beta Corp,2025-02-15
TX5282,44582.87,Gamma Services,2025-12-08
TX5283,242.59,Alpha SARL,2025-02-21
TX5284,6253.2,Epsilon Consulting,2025-01-03
TX5285,9000,Delta Trading,2025-02-18
TX5286,29.99,Gamma Services,2025-03-05
TX5287,41743.9,Beta Corp,2025-11-22
TX5288,375.46,Beta Corp,2025-04-11
TX5289,100.87,Alpha SARL,2025-06-27
TX5290,500,Beta Corp,2025-02-04
TX5291,459.97,Gamma Services,2025-04-06
TX5292,5767.42,Beta Corp,2025-02-14
TX5293,1500,Beta Corp,2025-04-16
TX5294,886.78,Alpha SARL,2025-13-25
TX5295,9347.61,Delta Trading,2025-08-13
TX5296,1957.49,Epsilon Consulting,2025-05-12
TX5297,5139.34,Delta Trading,2025-12-05
TX5298,500,Gamma Services,2025-12-17
TX5299,15254.53,Beta Corp,2025-08-22
TX5300,35.46,Delta Trading,2025-07-22
TX5301,9304.78,Gamma Services,2025-01-19
TX5302,2500,Epsilon Consulting,2025-04-01
TX5303,1000,Beta Corp,2025-07-02
TX5304,109.25,Delta Trading,2025-09-18
TX5305,2000,Delta Trading,2025-12-25
TX5306,47.26,Delta Trading,2025-03-22
TX5307,9672.62,Alpha SARL,2025-08-16
TX5308,500,Epsilon Consulting,2025-02-01
TX5309,5000,Delta Trading,2025-09-14
TX5310,9000,Gamma Services,2025-06-12
TX5311,987.09,Beta Corp,2025-07-02
TX5312,750.21,Gamma Services,2025-12-14
TX5313,491.4,Alpha SARL,2025-05-18
TX5314,500,Epsilon Consulting,2025-03-06
TX5315,2245.37,Epsilon Consulting,2025-03-06
TX5316,9690.74,Epsilon Consulting,2025-06-25
TX5317,5229.84,Epsilon Consulting,2025-04-10
TX5318,100.43,Delta Trading,2025-03-06
TX5319,5000,Delta Trading,2025-02-20
TX5320,9256.1,Gamma Services,2025-02-03
TX5321,3486.75,Gamma Services,2025-12-28
TX5322,4609.84,Delta Trading,2025-10-20
TX5323,31.54,Gamma Services,2025-01-09
TX5324,9285.29,Beta Corp,2025-07-11
TX5325,5767.29,Alpha SARL,2025-03-16
TX5326,5249.06,Delta Trading,2025-05-11
TX5327,9303.09,Beta Corp,2025-09-04
TX5328,5809.09,Epsilon Consulting,2025-09-18
TX5329,395.8,Alpha SARL,2025-06-03
TX5330,5143.46,Gamma Services,2025-02-01
TX5331,22.61,Epsilon Consulting,2025-10-14
TX5332,1500,Beta Corp,2025-08-20
TX5333,5610.68,Gamma Services,2025-06-12
TX5334,5886.28,Beta Corp,2025-04-15
TX5335,9000,Delta Trading,2025-02-18
TX5336,1212.76,Gamma Services,2025-10-10
TX5337,55.95,Epsilon Consulting,2025-02-08
TX5338,36.03,Alpha SARL,2025-05-12
TX5339,2000,Alpha SARL,2025-03-24
TX5340,9389.69,Delta Trading,2025-07-15
TX5341,12429.04,Gamma Services,2025-08-25
TX5342,9500,Delta Trading,2025-01-19
TX5343,5068.45,Delta Trading,2025-07-20
TX5344,1000,Beta Corp,2025-02-06
TX5345,9146.54,Gamma Services,2025-02-22
TX5346,8824.38,Gamma Services,2025-02-28
TX5347,2000,Alpha SARL,2025-05-16
TX5348,9500,Beta Corp,2025-07-26
TX5349,5505.3,Alpha SARL,2025-10-01
TX5350,12.4,Alpha SARL,2025-02-03
TX5351,5265.77,Alpha SARL,2025-03-05
TX5352,1500,Epsilon Consulting,2025-02-04
TX5353,86.65,Gamma Services,2025-01-19
TX5354,1000,Delta Trading,2025-06-15
TX5355,32965.95,Delta Trading,2025-02-05
TX5356,2500,Epsilon Consulting,2025-02-15
TX5357,9756.18,Alpha SARL,2025-12-26
TX5358,5000,Beta Corp,2025-08-11
TX5359,341.82,Alpha SARL,2025-07-25
TX5360,9521.1,Delta Trading,2025-06-08
TX5361,9035.1,Delta Trading,2025-02-22
TX5362,5000,Beta Corp,2025-01-09
TX5363,184.63,Gamma Services,2025-11-15
TX5364,5000,Gamma Services,2025-07-05
TX5365,9647.45,Epsilon Consulting,2025-07-23
TX5366,9000,Epsilon Consulting,2025-06-14
TX5367,500,Epsilon Consulting,2025-11-12
TX5368,9738.53,Gamma Services,2025-07-13
TX5369,16648.66,Beta Corp,2025-07-06
TX5370,2252.34,Epsilon Consulting,2025-12-18
TX5371,1402.34,Delta Trading,2025-02-01
TX5372,1352.82,Gamma Services,2025-09-05
TX5373,257.51,Epsilon Consulting,2025-08-26
TX5374,5000,Gamma Services,2025-08-25
TX5375,2000,Epsilon Consulting,2025-01-26
TX5376,103.26,Alpha SARL,2025-11-08
TX5377,9500,Delta Trading,2025-09-17
TX5378,499.63,Delta Trading,2025-12-25
TX5379,2000,Epsilon Consulting,2025-07-24
TX5380,9553.37,Delta Trading,2025-07-10
TX5381,5218.82,Epsilon Consulting,2025-01-18
TX5382,8248.26,Beta Corp,2025-10-15
TX5383,5213.85,Delta Trading,2025-04-13
TX5384,5000,Beta Corp,2025-05-15
TX5385,227,Alpha SARL,2025-03-22
TX5386,2500,Alpha SARL,2025-10-26
TX5387,9500,Alpha SARL,2025-04-11
TX5388,3439.82,Epsilon Consulting,2025-06-28
TX5389,101.67,Alpha SARL,2025-02-12
TX5390,1500,Gamma Services,2025-03-23
TX5391,5760.94,Epsilon Consulting,2025-04-21
TX5392,1500,Delta Trading,2025-10-16
TX5393,5718.53,Beta Corp,2025-02-16
TX5394,237.44,Beta Corp,2025-13-25
TX5395,1500,Gamma Services,2025-04-13
TX5396,5193.18,Alpha SARL,2025-10-04
TX5397,2000,Beta Corp,2025-01-25
TX5398,390.69,Delta Trading,2025-10-02
TX5399,287.01,Gamma Services,2025-10-08
TX5400,1500,Alpha SARL,2025-04-25
TX5401,1500,Gamma Services,2025-12-11
TX5402,21382.43,Alpha SARL,2025-05-09
TX5403,3652.2,Alpha SARL,2025-12-21
TX5404,9736.53,Epsilon Consulting,2025-09-07
TX5405,3148.98,Beta Corp,2025-07-14
TX5406,584.99,Alpha SARL,2025-12-15
TX5407,14.46,Gamma Services,2025-05-19
TX5408,29.52,Gamma Services,2025-07-22
TX5409,3698.53,Epsilon Consulting,2025-01-10
TX5410,11.24,Beta Corp,2025-09-24
TX5411,9500,Beta Corp,2025-10-20
TX5412,1000,Alpha SARL,2025-11-16
TX5413,500,Gamma Services,2025-05-01
TX5414,27265.8,Delta Trading,2025-07-21
TX5415,42,Delta Trading,2025-03-04
TX5416,777.35,Gamma Services,2025-07-13
TX5417,34400.41,Gamma Services,2025-09-17
TX5418,9282.25,Gamma Services,2025-12-17
TX5419,9764.55,Epsilon Consulting,2025-11-08
TX5420,9000,Epsilon Consulting,2025-06-08
TX5421,2500,Epsilon Consulting,2025-11-02
TX5422,9321.19,Alpha SARL,2025-09-03
TX5423,1500,Delta Trading,2025-02-15
TX5424,88.47,Gamma Services,2025-12-07
TX5425,107.6,Gamma Services,2025-12-13
TX5426,2000,Delta Trading,2025-07-12
TX5427,733.44,Epsilon Consulting,2025-10-10
TX5428,9000,Gamma Services,2025-02-06
TX5429,13162.15,Beta Corp,2025-07-21
TX5430,9227.25,Beta Corp,2025-11-07
TX5431,9500,Gamma Services,2025-13-27
TX5432,1500,Beta Corp,2025-11-20
TX5433,9278.67,Epsilon Consulting,2025-07-20
TX5434,2000,Delta Trading,2025-11-20
TX5435,9000,Alpha SARL,2025-08-27
TX5436,5474.33,Alpha SARL,2025-08-03
TX5437,1000,Beta Corp,2025-13-01
TX5438,1000,Delta Trading,2025-13-02
TX5439,9500,Delta Trading,2025-10-28
TX5440,9845.38,Alpha SARL,2025-02-15
TX5441,14.89,Beta Corp,2025-08-16
TX5442,2500,Gamma Services,2025-01-25
TX5443,9500,Gamma Services,2025-06-23
TX5444,9790.32,Gamma Services,2025-04-08
TX5445,2000,Epsilon Consulting,2025-08-06
TX5446,2500,Epsilon Consulting,2025-07-01
TX5447,5000,Delta Trading,2025-09-04
TX5448,2000,Alpha SARL,2025-01-09
TX5449,500,Delta Trading,2025-05-15
TX5450,500,Beta Corp,2025-11-08
TX5451,4952.22,Alpha SARL,2025-10-18
TX5452,9231.95,Beta Corp,2025-12-22
TX5453,9500,Gamma Services,2025-08-18
TX5454,5140.53,Beta Corp,2025-13-02
TX5455,147.8,Alpha SARL,2025-10-15
TX5456,639.64,Gamma Services,2025-04-19
TX5457,450.28,Alpha SARL,2025-02-22
TX5458,10.18,Beta Corp,2025-02-23
TX5459,1000,Delta Trading,2025-01-10
TX5460,9000,Gamma Services,2025-04-23
TX5461,9051.33,Epsilon Consulting,2025-08-17
TX5462,9973.88,Epsilon Consulting,2025-08-07
TX5463,875.08,Delta Trading,2025-12-21
TX5464,9799.14,Alpha SARL,2025-08-24
TX5465,466.88,Beta Corp,2025-01-03
TX5466,5495.52,Delta Trading,2025-05-27
TX5467,5755.36,Alpha SARL,2025-07-18
TX5468,9000,Gamma Services,2025-13-02
TX5469,28715.89,Delta Trading,2025-03-09
TX5470,5047.77,Gamma Services,2025-04-07
TX5471,66.96,Epsilon Consulting,2025-11-17
TX5472,2782.97,Delta Trading,2025-01-02
TX5473,500,Delta Trading,2025-02-22
TX5474,5000,Beta Corp,2025-09-26
TX5475,5259.14,Epsilon Consulting,2025-08-22
TX5476,2463.56,Gamma Services,2025-12-15
TX5477,178.65,Gamma Services,2025-10-19
TX5478,1000,Alpha SARL,2025-12-03
TX5479,5000,Gamma Services,2025-02-13
TX5480,9863.91,Alpha SARL,2025-11-21
TX5481,1500,Epsilon Consulting,2025-12-24
TX5482,9395.36,Epsilon Consulting,2025-01-24
TX5483,5385.63,Beta Corp,2025-04-05
TX5484,15.51,Alpha SARL,2025-01-19
TX5485,5714.35,Delta Trading,2025-11-09
TX5486,500,Epsilon Consulting,2025-02-18
TX5487,293.6,Beta Corp,2025-07-25
TX5488,2000.72,Alpha SARL,2025-12-26
TX5489,10014.22,Delta Trading,2025-06-12
TX5490,150.05,Gamma Services,2025-05-07
TX5491,5000,Gamma Services,2025-04-09
TX5492,11077.11,Alpha SARL,2025-10-28
TX5493,500,Beta Corp,2025-08-08
TX5494,18.22,Beta Corp,2025-12-05
TX5495,48546.72,Beta Corp,2025-04-08
TX5496,9045.83,Gamma Services,2025-06-07
TX5497,892.23,Gamma Services,2025-03-18
TX5498,7957.13,Gamma Services,2025-01-12
TX5499,1500,Epsilon Consulting,2025-04-20
TX5500,238.19,Gamma Services,2025-11-11
TX5501,104.72,Beta Corp,2025-10-26
TX5502,1478.69,Gamma Services,2025-09-16
TX5503,1003.94,Delta Trading,2025-08-25
TX5504,2691.64,Gamma Services,2025-09-11
TX5505,1000,Alpha SARL,2025-09-17
TX5506,1500,Delta Trading,2025-06-18
TX5507,5192.75,Epsilon Consulting,2025-02-21
TX5508,303.29,Delta Trading,2025-06-16
TX5509,14.92,Delta Trading,2025-12-04
TX5510,686.89,Beta Corp,2025-07-23
TX5511,12151.72,Epsilon Consulting,2025-05-19
TX5512,9500,Epsilon Consulting,2025-03-05
TX5513,5598.22,Delta Trading,2025-07-15
TX5514,267.87,Gamma Services,2025-04-05
TX5515,32354.06,Alpha SARL,2025-07-07
TX5516,2500,Gamma Services,2025-06-01
TX5517,9000,Delta Trading,2025-03-15
TX5518,384.56,Alpha SARL,2025-12-28
TX5519,500,Beta Corp,2025-10-15
TX5520,2500,Alpha SARL,2025-01-25
TX5521,5838.94,Alpha SARL,2025-07-28
TX5522,1500,Epsilon Consulting,2025-05-23
TX5523,55.71,Alpha SARL,2025-03-23
TX5524,21.89,Epsilon Consulting,2025-05-11
TX5525,9562.73,Delta Trading,2025-03-05
TX5526,5000,Alpha SARL,2025-06-14
TX5527,5755.42,Epsilon Consulting,2025-12-02
TX5528,500,Epsilon Consulting,2025-03-17
TX5529,9688.65,Gamma Services,2025-03-09
TX5530,5879.14,Epsilon Consulting,2025-04-27
TX5531,3492.26,Beta Corp,2025-07-11
TX5532,500,Alpha SARL,2025-05-14
TX5533,9332.46,Beta Corp,2025-04-07
TX5534,9831.23,Delta Trading,2025-05-06
TX5535,3870.39,Epsilon Consulting,2025-04-22
TX5536,2500,Alpha SARL,2025-12-12
TX5537,5568.2,Alpha SARL,2025-07-24
TX5538,9500,Alpha SARL,2025-04-07
TX5539,9045.13,Epsilon Consulting,2025-10-19
TX5540,9163.99,Delta Trading,2025-09-23
TX5541,1293.18,Gamma Services,2025-02-12
TX5542,1008.65,Alpha SARL,2025-07-17
TX5543,9699,Delta Trading,2025-05-04
TX5544,5368.78,Beta Corp,2025-06-16
TX5545,1500,Beta Corp,2025-11-04
TX5546,9000,Gamma Services,2025-09-24
TX5547,64.48,Delta Trading,2025-03-23
TX5548,9500,Alpha SARL,2025-10-19
TX5549,5111.34,Alpha SARL,2025-02-24
TX5550,5371.26,Alpha SARL,2025-10-05
TX5551,5805.28,Alpha SARL,2025-05-13
TX5552,2500,Gamma Services,2025-07-16
TX5553,2500,Alpha SARL,2025-12-21
TX5554,2000,Epsilon Consulting,2025-07-13
TX5555,1597.39,Epsilon Consulting,2025-02-27
TX5556,1000,Gamma Services,2025-11-15
TX5557,4253.03,Gamma Services,2025-08-11
TX5558,24.76,Beta Corp,2025-01-24
TX5559,2500,Beta Corp,2025-01-27
TX5560,2859.1,Beta Corp,2025-03-12
TX5561,1000,Gamma Services,2025-04-03
TX5562,1500,Epsilon Consulting,2025-02-10
TX5563,1000,Beta Corp,2025-09-22
TX5564,5787.83,Beta Corp,2025-10-14
TX5565,9823.43,Beta Corp,2025-08-28
TX5566,26007.66,Epsilon Consulting,2025-13-28
TX5567,5000,Beta Corp,2025-02-26
TX5568,2500,Beta Corp,2025-13-25
TX5569,9708.34,Beta Corp,2025-10-26
TX5570,500,Gamma Services,2025-01-24
TX5571,92.75,Epsilon Consulting,2025-01-11
TX5572,33093.32,Epsilon Consulting,2025-11-23
TX5573,2000,Epsilon Consulting,2025-01-17
TX5574,1000,Epsilon Consulting,2025-04-02
TX5575,8749.5,Gamma Services,2025-03-22
TX5576,9891.54,Delta Trading,2025-12-25
TX5577,3905.2,Beta Corp,2025-02-18
TX5578,500,Alpha SARL,2025-08-18
TX5579,1500,Alpha SARL,2025-08-23
TX5580,15988.13,Epsilon Consulting,2025-09-20
TX5581,12.06,Gamma Services,2025-09-04
TX5582,1902.57,Delta Trading,2025-08-22
TX5583,5000,Gamma Services,2025-08-21
TX5584,152.52,Epsilon Consulting,2025-08-27
